BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,...12,BFS_N
1,Aeugst a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,115600,Fr.,Franken,NA,1
2,Affoltern a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,78200,Fr.,Franken,NA,2
3,Bonstetten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,100900,Fr.,Franken,NA,3
4,Hausen a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,95400,Fr.,Franken,NA,4
5,Hedingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,100700,Fr.,Franken,NA,5
6,Kappel a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,103100,Fr.,Franken,NA,6
7,Knonau,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,94200,Fr.,Franken,NA,7
8,Maschwanden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,85300,Fr.,Franken,NA,8
9,Mettmenstetten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,96500,Fr.,Franken,NA,9
10,Obfelden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,85600,Fr.,Franken,NA,10
11,Ottenbach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,92900,Fr.,Franken,NA,11
12,Rifferswil,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,102200,Fr.,Franken,NA,12
13,Stallikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,318,Steuerb. Einkommen natürl. Pers. 75%-Quantil [Fr.],2021,112100,Fr.,Franken,NA,13
